date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:01	62980/62980	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2007:59:23%20GMT	https://templates.hibootstrap.com/cognizance/default/index.html	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/index.html	(from )
19:35:03	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Feb%202026%2014:34:54%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
19:35:04	232745/232745	---MCZ	200	added ('OK')	text/css	etag:W/%226639dd31-38d29%22	https://templates.hibootstrap.com/cognizance/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:05	71744/71744	---MCZ	200	added ('OK')	text/css	etag:W/%226639dc42-11840%22	https://templates.hibootstrap.com/cognizance/default/assets/css/animate.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:05	4200/4200	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-1068%22	https://templates.hibootstrap.com/cognizance/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:06	1718/1718	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-6b6%22	https://templates.hibootstrap.com/cognizance/default/assets/css/flaticon.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:07	5388/5388	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-150c%22	https://templates.hibootstrap.com/cognizance/default/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/magnific-popup.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:08	2279/2279	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-8e7%22	https://templates.hibootstrap.com/cognizance/default/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/meanmenu.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:09	3167/3167	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-c5f%22	https://templates.hibootstrap.com/cognizance/default/assets/css/nice-select.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/nice-select.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
19:35:09	65758/65758	---MCZ	200	added ('OK')	text/css	etag:W/%226639d779-100de%22	https://templates.hibootstrap.com/cognizance/default/assets/css/boxicons.min.css	C:/My%20Web%20Sites/cognizance/templates.hibootstrap.com/cognizance/default/assets/css/boxicons.min.css	(from https://templates.hibootstrap.com/cognizance/default/index.html)
